id,Title,"Short Description","Post Type","Regular Price","Sale Price",Stock,"Image Featured","Product categories","Categories Brand",ISBN,Publication,Language
3945,"natus error sit volup tatem accusant dolor",,product,340.00,250.00,,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Digital,,,,
4241,"Sundor ar Bhalo",1,product,200.00,,0,,"Biographical, Crime/thriller, Detective, Kids, Romance, Short stories, Travelogue",,,,
4242,Satrang,,product,150.00,,0,,Children,,,,
4243,"BHUTPATRIR DESH",,product,150.00,,0,,Children,,,,
4244,"Shrestha Abanindranath",,product,250.00,,0,,Children,,,,
4245,"Global Warming",,product,70.00,,0,,Children,,,,
4246,"Sanket Rahasya",,product,100.00,,0,,Children,,,,
4247,"Majhe Matro Chobbish Din",,product,120.00,,0,,Children,,,,
4248,"Rahasya Jakhan Darwin",,product,120.00,,0,,Children,,,,
4249,"Kaw Rahosyo",,product,150.00,,0,,Children,,,,
4250,"BHOUTIK ALOUKIK",,product,200.00,,0,,Children,,,,
4251,"SOB LOGICER BAIRE",,product,200.00,,0,,Children,,,,
4252,"Makarsha Atanka",,product,70.00,,0,,Children,,,,
4253,"Superman Bikramjit",,product,70.00,,0,,Children,,,,
4254,"Asajhya Suspense 2",,product,150.00,,0,,Children,,,,
4255,"Sera Kalpabijyan Omnibas",,product,160.00,,0,,Children,,,,
4256,"Asajhya Suspense 3",,product,170.00,,0,,Children,,,,
4257,"Bish Rohosyo",,product,200.00,,0,,"Adult Fiction",,,,
4258,"Panchti Rahasya Upanyas",,product,200.00,,0,,"Adult Fiction",,,,
4259,"Asajhya Suspense 1",,product,200.00,,0,,Children,,,,
4260,"SERA GOENDA UPANYAS",,product,400.00,,0,,"Adult Fiction",,,,
4261,"Romanchakar Dhumketu",,product,50.00,,0,,Children,,,,
4262,"Sahaj Kathay Internet",,product,50.00,,0,,Children,,,,
4263,"Sahaj Kathay Robot",,product,50.00,,0,,Children,,,,
4264,"Kemon Kore Kaj Kare Jantra",,product,60.00,,0,,Children,,,,
4265,"Pi Niye Rupkatha",,product,100.00,,0,,Children,,,,
4266,"Bijnaner Harekrakam",,product,100.00,,0,,Children,,,,
4267,"Dekha Jay Na, Shona Jay",,product,120.00,,0,,Children,,,,
4268,"Bhoutik Aloukik",,product,150.00,,0,,Children,,,,
4269,Bhaypatal,,product,200.00,,0,,Children,,,,
4270,"Bishwer Sera Bhayankar Bhuter Galpa",,product,200.00,,0,,Children,,,,
4271,"Kishore Kalpabijnan Samagra",,product,200.00,,0,,Children,,,,
4272,"Teish Ghonta Shaat Minute",,product,200.00,,0,,Children,,,,
4273,"Panchti Rahasya Upanyas",,product,225.00,,0,,"Adult Fiction",,,,
4274,"Bhutnather Diary",,product,250.00,,0,,"Adult Fiction",,,,
4275,"Sera Science Fiction Samagro",,product,280.00,,0,,"Adult Fiction",,,,
4276,"Shaat Minit Teish Ghonta",,product,280.00,,0,,Children,,,,
4277,"ASARIRI BHAYONKAR",,product,280.00,,0,,Children,,,,
4278,LASHTALASH,,product,300.00,,0,,"Adult Fiction",,,,
4279,LASHTALASH,,product,300.00,,,,"Adult Fiction",,978-81-8374-422-5,,
