id,Title,Short Description,Post Type,Regular Price,Sale Price,Stock,Image Featured,Product categories,Categories Brand,ISBN,Publication,Language
3945,natus error sit volup tatem accusant dolor,,product,340,250,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Digital,Abanindranath Thakur,978-1-8374-243-6,Patra Bharati,Bengali
4241,Sundor ar Bhalo,1,product,200,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,"Biographical, Crime/thriller, Detective, Kids, Romance, Short stories, Travelogue",Abanindranath Thakur,978-81-8374-311-2,Patra Bharati,Bengali
4242,Satrang,,product,150,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Children,Abanindranath Thakur,978-81-8374-173-6,Patra Bharati,Bengali
4243,BHUTPATRIR DESH,,product,150,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Children,Abhijnan Roy Choudhury,978-81-8374-049-4,Patra Bharati,Bengali
4244,Shrestha Abanindranath,,product,250,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Children,Abhijnan Roy Choudhury,978-81-8374-069-2,Patra Bharati,Bengali
4245,Global Warming,,product,70,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Children,Abhijnan Roy Choudhury,978-81-8374-239-9,Patra Bharati,Bengali
4246,Sanket Rahasya,,product,100,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Children,Abhijnan Roy Choudhury,978-81-8374-141-5,Patra Bharati,Bengali
4247,Majhe Matro Chobbish Din,,product,120,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Children,Abhijnan Roy Choudhury,978-81-8374-384-6,Patra Bharati,Bengali
4248,Rahasya Jakhan Darwin,,product,120,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Children,Abhijnan Roy Choudhury,978-81-8374-330-3,Patra Bharati,Bengali
4249,Kaw Rahosyo,,product,150,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Children,Abhijnan Roy Choudhury,978-81-8374-446-1,Patra Bharati,Bengali
4250,BHOUTIK ALOUKIK,,product,200,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Children,Adrish Bardhan,81-8374-083-9,Patra Bharati,Bengali
